freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
Annual,Number,Intentional homicide,Albania,2019,58,,
Annual,Number,Intentional homicide,Albania,2020,52,,
Annual,Number,Intentional homicide,Albania,2021,61,,
Annual,Number,Intentional homicide,Albania,2022,42,,
Annual,Number,Intentional homicide,Albania,2023,34,,
Annual,Number,Intentional homicide,Shqipëria,2019,58,,
Annual,Number,Intentional homicide,Shqipëria,2020,52,,
Annual,Number,Intentional homicide,Shqipëria,2021,61,,
Annual,Number,Intentional homicide,Shqipëria,2022,42,,
Annual,Number,Intentional homicide,Shqipëria,2023,34,,
Annual,Number,Intentional homicide,Veri,2019,18,,
Annual,Number,Intentional homicide,Veri,2020,21,,
Annual,Number,Intentional homicide,Veri,2021,21,,
Annual,Number,Intentional homicide,Veri,2022,17,,
Annual,Number,Intentional homicide,Veri,2023,14,,
Annual,Number,Intentional homicide,Dibër,2019,3,,
Annual,Number,Intentional homicide,Dibër,2020,0,,
Annual,Number,Intentional homicide,Dibër,2021,4,,
Annual,Number,Intentional homicide,Dibër,2022,1,,
Annual,Number,Intentional homicide,Dibër,2023,0,,
Annual,Number,Intentional homicide,Durrës,2019,4,,
Annual,Number,Intentional homicide,Durrës,2020,9,,
Annual,Number,Intentional homicide,Durrës,2021,3,,
Annual,Number,Intentional homicide,Durrës,2022,5,,
Annual,Number,Intentional homicide,Durrës,2023,4,,
Annual,Number,Intentional homicide,Kukës,2019,0,,
Annual,Number,Intentional homicide,Kukës,2020,1,,
Annual,Number,Intentional homicide,Kukës,2021,1,,
Annual,Number,Intentional homicide,Kukës,2022,0,,
Annual,Number,Intentional homicide,Kukës,2023,0,,
Annual,Number,Intentional homicide,Lezhë,2019,6,,
Annual,Number,Intentional homicide,Lezhë,2020,6,,
Annual,Number,Intentional homicide,Lezhë,2021,4,,
Annual,Number,Intentional homicide,Lezhë,2022,3,,
Annual,Number,Intentional homicide,Lezhë,2023,4,,
Annual,Number,Intentional homicide,Shkodër,2019,5,,
Annual,Number,Intentional homicide,Shkodër,2020,5,,
Annual,Number,Intentional homicide,Shkodër,2021,9,,
Annual,Number,Intentional homicide,Shkodër,2022,8,,
Annual,Number,Intentional homicide,Shkodër,2023,6,,
Annual,Number,Intentional homicide,Qender,2019,17,,
Annual,Number,Intentional homicide,Qender,2020,13,,
Annual,Number,Intentional homicide,Qender,2021,19,,
Annual,Number,Intentional homicide,Qender,2022,10,,
Annual,Number,Intentional homicide,Qender,2023,13,,
Annual,Number,Intentional homicide,Elbasan,2019,5,,
Annual,Number,Intentional homicide,Elbasan,2020,5,,
Annual,Number,Intentional homicide,Elbasan,2021,9,,
Annual,Number,Intentional homicide,Elbasan,2022,2,,
Annual,Number,Intentional homicide,Elbasan,2023,4,,
Annual,Number,Intentional homicide,Tiranë,2019,12,,
Annual,Number,Intentional homicide,Tiranë,2020,8,,
Annual,Number,Intentional homicide,Tiranë,2021,10,,
Annual,Number,Intentional homicide,Tiranë,2022,8,,
Annual,Number,Intentional homicide,Tiranë,2023,9,,
Annual,Number,Intentional homicide,Jug,2019,23,,
Annual,Number,Intentional homicide,Jug,2020,18,,
Annual,Number,Intentional homicide,Jug,2021,21,,
Annual,Number,Intentional homicide,Jug,2022,15,,
Annual,Number,Intentional homicide,Jug,2023,7,,
Annual,Number,Intentional homicide,Berat,2019,0,,
Annual,Number,Intentional homicide,Berat,2020,2,,
Annual,Number,Intentional homicide,Berat,2021,0,,
Annual,Number,Intentional homicide,Berat,2022,1,,
Annual,Number,Intentional homicide,Berat,2023,0,,
Annual,Number,Intentional homicide,Fier,2019,5,,
Annual,Number,Intentional homicide,Fier,2020,3,,
Annual,Number,Intentional homicide,Fier,2021,10,,
Annual,Number,Intentional homicide,Fier,2022,5,,
Annual,Number,Intentional homicide,Fier,2023,1,,
Annual,Number,Intentional homicide,Gjirokastër,2019,4,,
Annual,Number,Intentional homicide,Gjirokastër,2020,3,,
Annual,Number,Intentional homicide,Gjirokastër,2021,2,,
Annual,Number,Intentional homicide,Gjirokastër,2022,0,,
Annual,Number,Intentional homicide,Gjirokastër,2023,2,,
Annual,Number,Intentional homicide,Korçë,2019,4,,
Annual,Number,Intentional homicide,Korçë,2020,4,,
Annual,Number,Intentional homicide,Korçë,2021,1,,
Annual,Number,Intentional homicide,Korçë,2022,5,,
Annual,Number,Intentional homicide,Korçë,2023,2,,
Annual,Number,Intentional homicide,Vlorë,2019,10,,
Annual,Number,Intentional homicide,Vlorë,2020,6,,
Annual,Number,Intentional homicide,Vlorë,2021,8,,
Annual,Number,Intentional homicide,Vlorë,2022,4,,
Annual,Number,Intentional homicide,Vlorë,2023,2,,
Annual,Number,Intentional homicide,Austria,2019,74,,
Annual,Number,Intentional homicide,Austria,2020,54,,
Annual,Number,Intentional homicide,Austria,2021,59,,
