country,rate,,,,,,,,,
Iceland,99,,,,,,,,,
Norway,99,,,,,,,,,
Australia,99,,,,,,,,,
Canada,99,,,,,,,,,
Ireland,99,,,,,,,,,
Sweden,99,,,,,,,,,
Switzerland,99,,,,,,,,,
Japan,99,,,,,,,,,
Netherlands,99,,,,,,,,,
France,99,,,,,,,,,
Finland,99,,,,,,,,,
United States,99,,,,,,,,,
Spain,99,,,,,,,,,
Denmark,99,,,,,,,,,
Austria,99,,,,,,,,,
United Kingdom,99,,,,,,,,,
Belgium,99,,,,,,,,,
Luxembourg,99,,,,,,,,,
New Zealand,99,,,,,,,,,
Italy,98.4,,,,,,,,,
"Hong Kong, China (SAR)",94.6,,,,,,,,,
Germany,99,,,,,,,,,
Israel,97.1,,,,,,,,,
Greece,96,,,,,,,,,
Singapore,92.5,,,,,,,,,
Korea (Republic of),99,,,,,,,,,
Slovenia,99.7,,,,,,,,,
Cyprus,96.8,,,,,,,,,
Portugal,93.8,,,,,,,,,
Brunei Darussalam,92.7,,,,,,,,,
Barbados,99.7,,,,,,,,,
Czech Republic,99,,,,,,,,,
Kuwait,93.3,,,,,,,,,
Malta,87.9,,,,,,,,,
Qatar,89,,,,,,,,,
Hungary,99.4,,,,,,,,,
Poland,99.8,,,,,,,,,
Argentina,97.2,,,,,,,,,
United Arab Emirates,88.7,,,,,,,,,
Chile,95.7,,,,,,,,,
Bahrain,86.5,,,,,,,,,
Slovakia,99,,,,,,,,,
Lithuania,99.6,,,,,,,,,
Estonia,99.8,,,,,,,,,
Latvia,99.7,,,,,,,,,
Uruguay,96.8,,,,,,,,,
Croatia,98.1,,,,,,,,,
Costa Rica,78.5,,,,,,,,,
Bahamas,65.8,,,,,,,,,
Seychelles,91.8,,,,,,,,,
Cuba,99.8,,,,,,,,,
Mexico,91.6,,,,,,,,,
Bulgaria,98.2,,,,,,,,,
Saint Kitts and Nevis,97.8,,,,,,,,,
Tonga,98.9,,,,,,,,,
Libyan Arab Jamahiriya,84.2,,,,,,,,,
Antigua and Barbuda,85.8,,,,,,,,,
Oman,81.4,,,,,,,,,
Trinidad and Tobago,98.4,,,,,,,,,
Romania,97.3,,,,,,,,,
Saudi Arabia,82.9,,,,,,,,,
Panama,91.9,,,,,,,,,
Malaysia,88.7,,,,,,,,,
Belarus,99.6,,,,,,,,,
Mauritius,84.3,,,,,,,,,
Bosnia and Herzegovina,96.7,,,,,,,,,
Russian,99.4,,,,,,,,,
Albania,98.7,,,,,,,,,
Macedonia (TFYR),96.1,,,,,,,,,
